Sum of Time,Column Labels,,,,
Row Labels,1,2,3,4,Grand Total
16,0.000059,0.000096,0.000102,0.000112,0.000369
19,0.000031,0.000028,0.000031,0.000021,0.000111
22,0.00004,0.00003,0.000019,0.000023,0.000112
26,0.000054,0.000021,0.000023,0.000026,0.000124
32,0.000078,0.000029,0.000028,0.000029,0.000164
38,0.000112,0.000039,0.00004,0.000036,0.000227
45,0.00015,0.000055,0.000053,0.000048,0.000306
53,0.000207,0.000093,0.000069,0.000064,0.000433
64,0.000299,0.000106,0.000099,0.000111,0.000615
76,0.000422,0.000194,0.000135,0.000155,0.000906
90,0.000585,0.000199,0.000217,0.000157,0.001158
107,0.0009,0.000285,0.000247,0.000223,0.001655
128,0.0012,0.000372,0.000346,0.000314,0.002232
152,0.001552,0.000513,0.000488,0.000437,0.00299
181,0.003308,0.000732,0.000664,0.000601,0.005305
215,0.003974,0.001032,0.000954,0.000848,0.006808
256,0.005183,0.001432,0.001329,0.001222,0.009166
304,0.006792,0.002612,0.001926,0.001792,0.013122
362,0.009939,0.003835,0.002636,0.003398,0.019808
430,0.01088,0.004586,0.004093,0.003682,0.023241
512,0.012251,0.00588,0.006494,0.004957,0.029582
608,0.016869,0.008462,0.007418,0.007049,0.039798
724,0.03044,0.012187,0.017299,0.011065,0.070991
861,0.036516,0.016964,0.015125,0.01645,0.085055
1024,0.052528,0.028764,0.021081,0.021361,0.123734
1217,0.075259,0.034333,0.030157,0.030737,0.170486
1448,0.102823,0.048481,0.043181,0.045617,0.240102
1722,0.142816,0.069327,0.059595,0.060166,0.331904
2048,0.194293,0.096987,0.089415,0.080043,0.460738
2435,0.291441,0.141783,0.120205,0.11341,0.666839
2896,0.414751,0.20783,0.200347,0.160623,0.983551
3444,0.571622,0.279899,0.253621,0.23169,1.336832
4096,0.835886,0.403665,0.382475,0.347651,1.969677
4870,1.16244,0.554429,0.521543,0.452544,2.690956
5792,1.65819,0.787261,0.771924,0.662474,3.879849
6888,2.17944,1.12141,1.08558,0.911914,5.298344
8192,3.05013,1.57486,1.50171,1.33189,7.45859
9741,4.4112,2.23136,2.17534,1.81679,10.63469
11585,6.11421,3.14261,3.32174,2.57509,15.15365
13777,9.12011,4.46318,5.14744,3.69494,22.42567
16384,12.5538,6.29845,7.63474,5.21812,31.70511
19483,17.591,8.9198,9.24431,7.36732,43.12243
23170,24.9353,12.6011,13.4031,11.1014,62.0409
27554,35.2084,17.7851,16.0371,17.9598,86.9904
32768,,25.1179,22.7675,22.5113,70.3967
38967,,37.5437,31.5873,29.384,98.515
46340,,,,47.6853,47.6853
Grand Total,120.80748,123.512011,116.459239,153.817,514.59573